AppName,WarnName,TimeSpent,pfrSO,pfrDIS,pfrLENG,pfrHENG,Highest CogState
Game2,Maroon-Icon-Warning,0:00:02:02,0,0.5,0,0.5,pfrDIS
Game3,Maroon-Text-Warning,0:00:04:04,0,0,0.25,0.75,pfrHENG
Game4,Maroon-Message-Warning,0:00:04:04,0,0,0.5,0.5,pfrLENG
Sport1,Red-Icon-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport2,White-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport3,Maroon-Text-Warning,0:00:03:03,0,0,0.75,0.25,pfrLENG
Sport4,Maroon-Icon-Warning,0:00:03:03,0,0,0.25,0.75,pfrHENG
Music1,Red-Warning,0:00:02:02,0,0,0.333333333,0.666666667,pfrHENG
Music2,Maroon-Icon-Warning,0:00:05:05,0,0.4,0,0.6,pfrHENG
Music3,Windows-Alert,0:00:03:03,0,0.666666667,0.333333333,0,pfrDIS
Music4,Windows-Alert,0:00:04:04,0,0.25,0.25,0.5,pfrHENG
News1,Windows-Alert,0:00:02:02,0,0,0.5,0.5,pfrLENG
News2,Maroon-Warning,0:00:02:02,0,0,0,1,pfrHENG
News3,Maroon-Icon-Warning,0:00:02:02,0.5,0,0,0.5,pfrSO
News4,Red-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Music1,White-Warning,0:00:02:02,0,0,1,0,pfrLENG
Music2,Red-Warning,0:00:02:02,0,0,0,1,pfrHENG
Music3,Maroon-Message-Warning,0:00:04:04,0.333333333,0,0.666666667,0,pfrLENG
Music4,Red-Icon-Warning,0:00:04:04,0,0.666666667,0,0.333333333,pfrDIS
Game1,Red-Warning,0:00:02:02,0,0,1,0,pfrLENG
Game2,Red-Warning,0:00:03:03,0.333333333,0.333333333,0.333333333,0,pfrSO
Game3,Red-Icon-Warning,0:00:02:02,0,0,0.666666667,0.333333333,pfrLENG
Game4,Red-Icon-Warning,0:00:03:03,0.333333333,0,0,0.666666667,pfrHENG
Sport1,Maroon-Icon-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport2,Maroon-Message-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport3,Maroon-Message-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport4,Red-Icon-Warning,0:00:03:03,0,0,1,0,pfrLENG
News1,Red-Warning,0:00:02:02,0,0.5,0,0.5,pfrDIS
News2,White-Warning,0:00:02:02,0,0,0,1,pfrHENG
News3,Red-Warning,0:00:02:02,0,0.5,0,0.5,pfrDIS
News4,Maroon-Warning,0:00:02:02,0,1,0,0,pfrDIS
Music1,Windows-Alert,0:00:03:03,0,0,0.5,0.5,pfrLENG
Music2,Red-Icon-Warning,0:00:02:02,0,0,1,0,pfrLENG
Music3,Red-Icon-Warning,0:00:02:02,0,0,1,0,pfrLENG
Music4,White-Warning,0:00:03:03,0.25,0,0.75,0,pfrLENG
Game1,Red-Icon-Warning,0:00:02:02,0,0.333333333,0,0.666666667,pfrHENG
